,micro_labels,macro_labels,ar_labels,frame_name,features
0,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0000,[[0.         0.59244025 0.08412524 ... 0.5102578  0.33708563 0.3155335 ]]
1,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0001,[[0.00242728 0.5503295  0.09549299 ... 0.50009793 0.3143114  0.32405925]]
2,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0002,[[0.         0.51734436 0.04351331 ... 0.48632988 0.32484204 0.33967298]]
3,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0003,[[0.         0.56125695 0.06136723 ... 0.57483757 0.19582807 0.3263583 ]]
4,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0004,[[0.         0.5466796  0.04867226 ... 0.62276465 0.20480554 0.31732655]]
5,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0005,[[0.01810578 0.61815876 0.0802146  ... 0.5178405  0.28212863 0.25545084]]
6,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0006,[[0.02043843 0.6400308  0.05437396 ... 0.4705284  0.32379407 0.3618595 ]]
7,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0007,[[0.01278544 0.79025066 0.06565149 ... 0.42141926 0.21176429 0.2917976 ]]
8,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0008,[[0.01523907 0.729223   0.06515799 ... 0.51798725 0.25456157 0.31559476]]
9,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0009,[[0.02851975 0.654209   0.03096993 ... 0.29489848 0.27334365 0.20976758]]
10,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0010,[[0.02858897 0.6543759  0.03097354 ... 0.29540664 0.27634013 0.21293636]]
11,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0011,[[0.00712892 0.68567073 0.05632531 ... 0.4832405  0.27992287 0.24328303]]
12,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0012,[[0.         0.7599744  0.07600956 ... 0.45567712 0.20461036 0.30313593]]
13,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0013,[[0.00716405 0.7643376  0.07242851 ... 0.49385664 0.30006996 0.2870539 ]]
14,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0014,[[0.00824674 0.7112007  0.04556004 ... 0.3106739  0.19906397 0.3157202 ]]
15,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0015,[[0.00418501 0.75661045 0.05008112 ... 0.5400198  0.13411157 0.24033642]]
16,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0016,[[0.00185124 0.75054526 0.05278024 ... 0.5356823  0.12804827 0.23481318]]
17,lie_still,lying_down,actor_repositioning,actor_1_bed_full_ph_cam_1_0017,[[0.01297903 0.81942207 0.14638989 ... 0.43148354 0.08951757 0.25590125]]
